INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION
3603 AVENUE S,BROOKLYN,18 BROOKLYN,Precinct 63,46,3085030008,2/15/2018,Open,Site downloaded for cleaning,,1003344,161462,40.609832,-73.931231,11234,654,3340574,Georgetown-Marine Park-Bergen Beach-Mill Basin,"(40.609832, -73.931231)"
131 EAST   60 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,4,1013950017,2/15/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,993068,217279,40.763053,-73.968168,10022,11402,1041920,Upper East Side-Carnegie Hill,"(40.763053, -73.968168)"
34th 34th Avenue,QUEENS,01 QUEENS,Unspecified,,,2/6/2018,Open,Property Research Required,,,,,,,,,,
77-17 SPRINGFIELD BOULEVARD,QUEENS,11 QUEENS,Precinct 111,23,4078400002,2/2/2018,Open,Site downloaded for cleaning,,1054010,208215,40.737904,-73.74827,11364,129104,4453216,Oakland Gardens,"(40.737904, -73.74827)"
4708 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3046950004,2/2/2018,Open,Site to be cleaned.,,1002815,176681,40.651606,-73.933095,11203,860,3102749,East Flatbush-Farragut,"(40.651606, -73.933095)"
7 WINTHROP STREET,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050450001,2/2/2018,Open,Site downloaded for cleaning,,995416,178464,40.656512,-73.959757,11225,79601,3115642,Prospect Lefferts Gardens-Wingate,"(40.656512, -73.959757)"
885 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,41,3045920026,2/2/2018,Open,Site to be cleaned.,,1003653,179988,40.660681,-73.930065,11203,880,3099226,Prospect Lefferts Gardens-Wingate,"(40.660681, -73.930065)"
1205 BOARDWALK,BROOKLYN,13 BROOKLYN,Precinct 60,47,3086950085,1/31/2018,Open,Site downloaded for cleaning,,989859,148098,40.573169,-73.97981,11224,352,3245145,Seagate-Coney Island,"(40.573169, -73.97981)"
292 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33,3021410014,1/31/2018,Open,Site downloaded for cleaning,,995805,197429,40.708567,-73.958322,11211,525,3059658,North Side-South Side,"(40.708567, -73.958322)"
3431 3 AVENUE,BRONX,03 BRONX,Precinct 42,16,2023710037,1/31/2018,Open,Site to be cleaned.,,1010046,241293,40.828932,-73.906788,10456,185,2001299,Morrisania-Melrose,"(40.828932, -73.906788)"
1669 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065830071,1/31/2018,Open,Site downloaded for cleaning,,991578,162278,40.612089,-73.973607,11230,440,3173548,Ocean Parkway South,"(40.612089, -73.973607)"
6122 18 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44,3055250047,1/30/2018,Open,Site to be cleaned.,,987572,165621,40.621268,-73.988033,11204,248,3132432,Bensonhurst West,"(40.621268, -73.988033)"
1924 NOSTRAND AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3052160060,1/30/2018,Open,Site downloaded for cleaning,,998598,172030,40.638848,-73.948302,11226,828,3120543,Erasmus,"(40.638848, -73.948302)"
351 GRAND STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1003100018,1/29/2018,Open,Site downloaded for cleaning,,987178,200424,40.716794,-73.989438,10002,16,1004032,Chinatown,"(40.716794, -73.989438)"
334 MENAHAN STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033190030,1/29/2018,Open,Site downloaded for cleaning,,1008035,194700,40.701052,-73.914219,11237,441,3338489,Bushwick North,"(40.701052, -73.914219)"
618 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050490048,1/26/2018,Open,Site downloaded for cleaning,,997259,178500,40.656609,-73.953114,11225,802,3115865,Prospect Lefferts Gardens-Wingate,"(40.656609, -73.953114)"
757 ST NICHOLAS AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,9,1020630029,1/25/2018,Open,Site to be cleaned.,,999936,240239,40.826062,-73.943322,10031,231,1061510,Hamilton Heights,"(40.826062, -73.943322)"
2nd 2nd ave,BROOKLYN,01 BROOKLYN,Unspecified,,,1/24/2018,Open,Property Research Required,,,,,,,,,,
3420 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041500023,1/23/2018,Open,Site downloaded for cleaning,,1020477,188664,40.684442,-73.869379,11208,1184,3092958,Cypress Hills-City Line,"(40.684442, -73.869379)"
8623 THIRD AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060440001,1/23/2018,Open,Site downloaded for cleaning,,975605,166339,40.623235,-74.031142,11209,60,3153456,Bay Ridge,"(40.623235, -74.031142)"
104-70 47 AVENUE,QUEENS,04 QUEENS,Precinct 110,21,4019910037,1/22/2018,Open,Site downloaded for cleaning,,1023300,211045,40.74586,-73.859071,11368,415,4049061,Corona,"(40.74586, -73.859071)"
165 PACIFIC STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3002860046,1/17/2018,Open,Site downloaded for cleaning,,985915,190445,40.689404,-73.993996,11201,45,3000000,Carroll Gardens-Columbia Street-Red Hook,"(40.689404, -73.993996)"
47 HICKS STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3002160006,1/17/2018,Open,Site downloaded for cleaning,,986066,194404,40.700271,-73.993451,11201,1,3001590,Brooklyn Heights-Cobble Hill,"(40.700271, -73.993451)"
517 EAST  187 STREET,BRONX,06 BRONX,Precinct 48,15,2030570043,1/16/2018,Open,Site downloaded for cleaning,,1014556,251556,40.857086,-73.890445,10458,387,2011770,Belmont,"(40.857086, -73.890445)"
2349 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3068580058,1/12/2018,Open,Site downloaded for cleaning,,986911,157828,40.599878,-73.990418,11214,298,3185338,Bensonhurst East,"(40.599878, -73.990418)"
202-19 HOLLIS AVENUE,QUEENS,12 QUEENS,Precinct 103,27,4109050024,1/12/2018,Open,Site downloaded for cleaning,,1052081,196740,40.706423,-73.755347,11412,508,4000000,Hollis,"(40.706423, -73.755347)"
49 EAST    1 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,1004420021,1/11/2018,Open,Site downloaded for cleaning,,987115,202967,40.723774,-73.989664,10003,3602,1006078,East Village,"(40.723774, -73.989664)"
206 UNION AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030580100,1/11/2018,Open,Site downloaded for cleaning,,998010,196676,40.706497,-73.95037,11211,511,3325853,East Williamsburg,"(40.706497, -73.95037)"
31 SKILLMAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027460042,3/13/2018,Open,Graffiti Reported,,998003,199918,40.715395,-73.950389,11211,501,3068363,East Williamsburg,"(40.715395, -73.950389)"
2037 EASTERN PARKWAY,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034700019,3/12/2018,Open,Site to be cleaned.,,1010601,187225,40.680527,-73.904994,11207,405,3326484,Bushwick South,"(40.680527, -73.904994)"
261 SAINT NICHOLAS AVENUE,QUEENS,05 QUEENS,Precinct 104,34,4034420010,3/9/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1008468,195128,40.702225,-73.912656,11385,547,4082244,Ridgewood,"(40.702225, -73.912656)"
148 STANTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,2,1003550072,3/9/2018,Open,Site to be cleaned.,,988239,201806,40.720587,-73.985609,10002,3001,1004345,Chinatown,"(40.720587, -73.985609)"
531 EAST FORDHAM ROAD,BRONX,06 BRONX,Precinct 48,15,,3/7/2018,Open,Property Research Required,,1015459,252435,40.859496,-73.887176,10458,397,,Belmont,"(40.859496, -73.887176)"
49-01 NORTHERN BOULEVARD,QUEENS,01 QUEENS,Precinct 114,26,4007350006,3/2/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1008245,213791,40.753451,-73.913394,11101,163,4013652,Astoria,"(40.753451, -73.913394)"
204 MALCOLM X BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016460045,2/27/2018,Open,Site downloaded for cleaning,,1003724,189385,40.686474,-73.929782,11221,293,3337992,Stuyvesant Heights,"(40.686474, -73.929782)"
2174 DEREIMER AVENUE,BRONX,10 BRONX,Precinct 45,12,2051320200,2/21/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1032307,252565,40.859777,-73.826268,10475,302,2000000,Co-op City,"(40.859777, -73.826268)"
9-16 VERNON BOULEVARD,QUEENS,01 QUEENS,Unspecified,,,1/22/2018,Open,Property Research Required,,,,,,,,,,
412 59 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008630012,2/20/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,979467,172839,40.641079,-74.017234,11220,74,3016265,Sunset Park West,"(40.641079, -74.017234)"
546 BEACH  128 STREET,QUEENS,14 QUEENS,Precinct 100,32,4161950061,2/16/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1025985,150928,40.580841,-73.849753,11694,93401,4304013,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"(40.580841, -73.849753)"
5118 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008020046,2/16/2018,Open,Site downloaded for cleaning,,983011,172593,40.640405,-74.004464,11220,108,3013769,Sunset Park East,"(40.640405, -74.004464)"
1087 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3047610001,2/9/2018,Open,Site downloaded for cleaning,,1003736,174725,40.646235,-73.929781,11203,848,3105304,Rugby-Remsen Village,"(40.646235, -73.929781)"
148 HIGHLAWN AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3066730001,2/8/2018,Open,Site downloaded for cleaning,,989639,159066,40.603274,-73.980593,11223,408,3329213,Bensonhurst East,"(40.603274, -73.980593)"
17-39 GATEWAY BOULEVARD,QUEENS,14 QUEENS,Precinct 101,31,,2/6/2018,Open,Property Research Required,,1053597,158277,40.600839,-73.750274,11691,101001,,Far Rockaway-Bayswater,"(40.600839, -73.750274)"
149-24 GUY R BREWER BOULEVARD,QUEENS,13 QUEENS,Precinct 105,31,4133840071,2/6/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1048743,178948,40.657613,-73.767557,11434,320,4286142,Springfield Gardens South-Brookville,"(40.657613, -73.767557)"
71-44 66 STREET,QUEENS,05 QUEENS,Precinct 104,30,4036770025,2/1/2018,Open,Site downloaded for cleaning,,1015117,195087,40.702092,-73.888676,11385,577,4089292,Glendale,"(40.702092, -73.888676)"
109 DITMAS AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053850055,1/30/2018,Open,Site downloaded for cleaning,,990415,170838,40.635586,-73.977788,11218,486,3126607,Kensington-Ocean Parkway,"(40.635586, -73.977788)"
2901 WHITE PLAINS ROAD,BRONX,11 BRONX,Precinct 49,15,2045420001,1/29/2018,Open,Site downloaded for cleaning,,1020957,255550,40.868024,-73.867283,10467,336,2054713,Bronxdale,"(40.868024, -73.867283)"
90 TOMPKINS AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017470031,1/26/2018,Open,Site to be cleaned.,,999090,192978,40.696345,-73.946483,11206,257,3048526,Bedford,"(40.696345, -73.946483)"
501 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 1,1,1004847501,1/25/2018,Open,Site to be cleaned.,,984395,202413,40.72213,-73.999578,10012,49,1087558,SoHo-TriBeCa-Civic Center-Little Italy,"(40.72213, -73.999578)"
41 ESSEX STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1003100025,1/25/2018,Open,Site downloaded for cleaning,,987180,200208,40.716201,-73.989431,10002,16,1004039,Chinatown,"(40.716201, -73.989431)"
1163 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041820057,1/24/2018,Open,Site downloaded for cleaning,,1021280,186609,40.678798,-73.866495,11208,1188,3327376,Cypress Hills-City Line,"(40.678798, -73.866495)"
101 KENT AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023170009,1/22/2018,Open,Site downloaded for cleaning,,995003,201880,40.720784,-73.961208,11249,557,3061867,North Side-South Side,"(40.720784, -73.961208)"
33 JAMES STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,1001160048,1/19/2018,Open,Site downloaded for cleaning,,984596,198712,40.712096,-73.998752,10038,27,1001392,Chinatown,"(40.712096, -73.998752)"
25-44 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,4006540082,1/17/2018,Open,Site downloaded for cleaning,,1008619,218931,40.767558,-73.912025,11103,143,4010283,Astoria,"(40.767558, -73.912025)"
68 EAST    1 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,1004430041,1/11/2018,Open,Site downloaded for cleaning,,987296,202873,40.723516,-73.989011,10003,3602,1006100,East Village,"(40.723516, -73.989011)"
29 PRINCE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,1005080052,1/11/2018,Open,Site to be cleaned.,,985715,202672,40.722965,-73.994715,10012,43,1087166,SoHo-TriBeCa-Civic Center-Little Italy,"(40.722965, -73.994715)"
113 MORNINGSIDE AVENUE,MANHATTAN,09 MANHATTAN,Precinct 26,9,1019500061,1/10/2018,Open,Site downloaded for cleaning,,996804,234560,40.81048,-73.954649,10027,20901,1059282,Morningside Heights,"(40.81048, -73.954649)"
69-80 75 STREET,QUEENS,05 QUEENS,Precinct 104,30,4037930103,1/10/2018,Open,Site downloaded for cleaning,,1018706,197065,40.707508,-73.875722,11379,619,4092094,Middle Village,"(40.707508, -73.875722)"
132 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1004100007,1/9/2018,Open,Site downloaded for cleaning,,987204,201531,40.71986,-73.989329,10002,18,1005305,Chinatown,"(40.71986, -73.989329)"
119 WEST KINGSBRIDGE ROAD,BRONX,08 BRONX,Unspecified,14,2032480057,1/8/2018,Open,Site downloaded for cleaning,,1011308,255757,40.868627,-73.902169,10468,26701,2015261,Van Cortlandt Village,"(40.868627, -73.902169)"
3722 FARRAGUT ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,45,3050120046,3/14/2018,Open,Graffiti Reported,,1000626,171247,40.636695,-73.940997,11210,780,3114290,East Flatbush-Farragut,"(40.636695, -73.940997)"
103 STANTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1004110018,3/9/2018,Open,Site to be cleaned.,,987608,202052,40.721262,-73.987886,10002,3001,1005351,Chinatown,"(40.721262, -73.987886)"
72 CLINTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1003440173,3/9/2018,Open,Site to be cleaned.,,988416,201320,40.719253,-73.984971,10002,2201,1004125,Lower East Side,"(40.719253, -73.984971)"
57 BARTLETT STREET,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022690039,3/6/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,999150,194771,40.701266,-73.946263,11206,507,3061447,Bedford,"(40.701266, -73.946263)"
5301 FT HAMILTON PARKWAY,BROOKLYN,12 BROOKLYN,Precinct 66,44,3056670010,3/1/2018,Open,Site to be cleaned.,,984076,171126,40.636378,-74.000627,11219,218,3138863,Borough Park,"(40.636378, -74.000627)"
ave u,BROOKLYN,01 BROOKLYN,Unspecified,,,2/24/2018,Open,Property Research Required,,,,,,,,,,
1087 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7,1021220088,2/24/2018,Open,Site downloaded for cleaning,,1000869,244595,40.838017,-73.93994,10032,245,1062933,Washington Heights South,"(40.838017, -73.93994)"
212-50 JAMAICA AVENUE,QUEENS,13 QUEENS,Precinct 105,27,4110830041,2/23/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1054627,200180,40.715845,-73.746128,11428,540,4238777,Queens Village,"(40.715845, -73.746128)"
1563 DEAN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,36,3013400146,2/21/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1001904,185622,40.676149,-73.936354,11213,311,3396447,Crown Heights North,"(40.676149, -73.936354)"
361 TROUTMAN STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031760057,2/20/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1005380,196373,40.70565,-73.923789,11237,447,3072406,Bushwick North,"(40.70565, -73.923789)"
171-40 109 AVENUE,QUEENS,12 QUEENS,Precinct 103,27,4102620017,2/19/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1044345,193597,40.697852,-73.783277,11433,414,4218723,South Jamaica,"(40.697852, -73.783277)"
368 60 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057810032,2/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,978941,172903,40.641254,-74.01913,11220,72,3143381,Sunset Park West,"(40.641254, -74.01913)"
23-16 40 AVENUE,QUEENS,01 QUEENS,Precinct 114,26,4004080026,2/13/2018,Open,Site downloaded for cleaning,,1001077,214052,40.754184,-73.939265,11101,33,4004942,Queensbridge-Ravenswood-Long Island City,"(40.754184, -73.939265)"
FDR DRIVE SOUTH BOUND SERVICE ROAD EXIT 7,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,2/9/2018,Open,Property Research Required,,,,,,,,,,
1382 EAST  105 STREET,BROOKLYN,18 BROOKLYN,Precinct 69,46,3082880068,2/8/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1015928,172319,40.639596,-73.885858,11236,1020,3234073,Canarsie,"(40.639596, -73.885858)"
5125 9 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056520001,2/3/2018,Open,Site downloaded for cleaning,,983574,172038,40.638881,-74.002436,11220,114,3138190,Borough Park,"(40.638881, -74.002436)"
WEST 130 STREET AND LENOX AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,2/2/2018,Open,Property Research Required,,,,,,,,,,
22-23 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,,2/1/2018,Open,Property Research Required,,1010088,220662,40.772305,-73.906715,11105,119,,Steinway,"(40.772305, -73.906715)"
40 WEST  225 STREET,BRONX,07 BRONX,Precinct 52,10,1022150700,2/1/2018,Open,Site downloaded for cleaning,,1009704,257583,40.873644,-73.907962,10463,309,1086533,Marble Hill-Inwood,"(40.873644, -73.907962)"
104-19 177 STREET,QUEENS,12 QUEENS,Precinct 103,27,4103320049,1/31/2018,Open,Site downloaded for cleaning,,1044810,195843,40.704014,-73.78158,11433,440,4457506,South Jamaica,"(40.704014, -73.78158)"
93-30 170 STREET,QUEENS,12 QUEENS,Precinct 103,27,4102170045,1/31/2018,Open,Site downloaded for cleaning,,1042876,196107,40.704751,-73.788553,11433,444,4217624,Jamaica,"(40.704751, -73.788553)"
1930 FOSTER AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,45,,1/30/2018,Open,Property Research Required,,995599,170982,40.635976,-73.95911,11230,764,,Flatbush,"(40.635976, -73.95911)"
181 7 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010760004,1/29/2018,Open,Site downloaded for cleaning,,990401,183879,40.67138,-73.977826,11215,155,3025166,Park Slope-Gowanus,"(40.67138, -73.977826)"
120 LAFAYETTE AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3021190023,1/26/2018,Open,Site to be cleaned.,,991865,189725,40.687425,-73.972542,11238,181,3059394,Fort Greene,"(40.687425, -73.972542)"
1824 WEEKS AVENUE,BRONX,05 BRONX,Precinct 46,15,2028000008,1/25/2018,Open,Site to be cleaned.,,1009891,247976,40.847275,-73.907322,10457,22901,2007514,Mount Hope,"(40.847275, -73.907322)"
530 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,,1/24/2018,Open,Property Research Required,,1010259,192262,40.694354,-73.906208,11237,437,,Bushwick North,"(40.694354, -73.906208)"
155 CRYSTAL STREET,BROOKLYN,05 BROOKLYN,Precinct 75,42,3042300011,1/24/2018,Open,Site downloaded for cleaning,,1019124,185144,40.674786,-73.874276,11208,1196,3402356,East New York,"(40.674786, -73.874276)"
7115 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058917501,1/23/2018,Open,Site to be cleaned.,,976810,170206,40.63385,-74.026805,11209,68,3253425,Bay Ridge,"(40.63385, -74.026805)"
1011 BRIGHTON BEACH AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3087070452,1/22/2018,Open,Site downloaded for cleaning,,995548,149884,40.578066,-73.959329,11235,61004,3245413,Brighton Beach,"(40.578066, -73.959329)"
783 HICKS STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005390001,1/17/2018,Open,Site downloaded for cleaning,,982857,185620,40.676161,-74.005022,11231,59,3332118,Carroll Gardens-Columbia Street-Red Hook,"(40.676161, -74.005022)"
365 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071040411,1/17/2018,Open,Site downloaded for cleaning,,992371,156876,40.597261,-73.970757,11223,396,3191603,Homecrest,"(40.597261, -73.970757)"
110 EAST  153 STREET,BRONX,04 BRONX,Precinct 44,8,2023540074,1/17/2018,Open,Site downloaded for cleaning,,1004175,239440,40.823861,-73.928008,10451,63,2001145,West Concourse,"(40.823861, -73.928008)"
110 DELANCY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1004100064,1/11/2018,Open,Site downloaded for cleaning,,987443,201099,40.718647,-73.988481,10002,18,1087565,Chinatown,"(40.718647, -73.988481)"
186-19 PINEVILLE LANE,QUEENS,12 QUEENS,Precinct 113,27,4127170161,1/9/2018,Open,Site downloaded for cleaning,,1052118,187366,40.680693,-73.755308,11413,352,4274014,St. Albans,"(40.680693, -73.755308)"
22 RUTGERS STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002730026,1/9/2018,Open,Site downloaded for cleaning,,986995,199113,40.713196,-73.990098,10002,6,1003258,Lower East Side,"(40.713196, -73.990098)"
80 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,1002760052,1/9/2018,Open,Site downloaded for cleaning,,985329,198728,40.712139,-73.996108,10002,8,1003322,Chinatown,"(40.712139, -73.996108)"
165 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002840028,1/9/2018,Open,Site downloaded for cleaning,,987026,199430,40.714066,-73.989986,10002,6,1003627,Lower East Side,"(40.714066, -73.989986)"
109-07 101 AVENUE,QUEENS,09 QUEENS,Precinct 102,28,4093950051,1/9/2018,Open,Site downloaded for cleaning,,1030206,189833,40.687605,-73.834293,11419,110,4197399,Richmond Hill,"(40.687605, -73.834293)"
377 SOUTH    5 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024510034,1/8/2018,Open,Site downloaded for cleaning,,997177,197104,40.707673,-73.953374,11211,527,3063518,North Side-South Side,"(40.707673, -73.953374)"
56 EAST  167 STREET,BRONX,04 BRONX,Precinct 44,16,2024880025,3/12/2018,Open,Site to be cleaned.,,1006242,243668,40.835461,-73.920525,10452,197,2127745,West Concourse,"(40.835461, -73.920525)"
26-20 DITMARS BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4008560036,3/11/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1008197,222780,40.778124,-73.913535,11105,101,4018249,Steinway,"(40.778124, -73.913535)"
49 NOBLE STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,,3/9/2018,Open,Property Research Required,,995679,204634,40.728343,-73.958764,11222,565,,Greenpoint,"(40.728343, -73.958764)"
251 WEST  101 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,6,1018730106,3/8/2018,Open,Site to be cleaned.,,992493,230075,40.798175,-73.970228,10025,187,1056526,Upper West Side,"(40.798175, -73.970228)"
1166 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3024770001,3/8/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,996609,208236,40.738228,-73.955402,11222,579,3330016,Greenpoint,"(40.738228, -73.955402)"
1668 PITKIN AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41,3035200040,3/5/2018,Open,Site to be cleaned.,,1008717,183212,40.669518,-73.911801,11212,924,3000000,Brownsville,"(40.669518, -73.911801)"
